Customer_ID,Customer_Name,Highest_Single_Order
BS-11755,"Bruce Stewart",779.80
LC-17140,"Logan Currie",1071.00
HK-14890,"Heather Kirkland",2399.96
LE-16810,"Laurel Elliston",641.96
JH-15985,"Joseph Holt",4297.64
MS-17980,"Michael Stewart",255.97
VW-21775,"Victoria Wilson",1247.64
JH-15910,"Jonathan Howell",302.38
JB-15925,"Joni Blumstein",479.99
DS-13180,"David Smith",622.45
VD-21670,"Valerie Dominguez",1399.93
EA-14035,"Erin Ashbrook",599.99
DB-13120,"David Bremer",1548.99
KL-16645,"Ken Lonsdale",8187.65
DW-13480,"Dianna Wilson",2001.86
LH-17155,"Logan Haushalter",338.04
KC-16540,"Kelly Collister",3347.37
DL-13315,"Delfina Latchford",361.92
DR-12880,"Dan Reichenbach",899.91
CC-12670,"Craig Carreira",917.92
Dl-13600,"Dorris liebe",658.75
SB-20290,"Sean Braxton",3059.98
RC-19825,"Roy Collins",328.22
AH-10210,"Alan Hwang",1577.94
CB-12535,"Claudia Bergmann",1564.29
CA-12310,"Christine Abelman",481.32
KH-16690,"Kristen Hastings",3499.93
BB-10990,"Barry Blumstein",344.70
AG-10495,"Andrew Gjertsen",516.96
JO-15280,"Jas O'Carroll",1038.84
AH-10195,"Alan Haines",961.48
NZ-18565,"Nick Zandusky",838.38
KL-16555,"Kelly Lampkin",1359.96
AS-10225,"Alan Schoenberger",1394.95
CR-12625,"Corey Roper",289.20
SH-20395,"Shahid Hopkins",945.04
BP-11185,"Ben Peterman",1119.89
TS-21205,"Thomas Seio",2239.94
AG-10525,"Andy Gerbode",559.71
SP-20860,"Sung Pak",1684.75
NM-18445,"Nathan Mautz",3991.98
FA-14230,"Frank Atkinson",859.20
GK-14620,"Grace Kelly",2575.94
DJ-13510,"Don Jones",1603.14
PO-18850,"Patrick O'Brill",4367.90
JL-15850,"John Lucas",1119.98
DB-13615,"Doug Bickford",959.98
AC-10420,"Alyssa Crouse",698.35
CC-12550,"Clay Cheatham",47.98
TD-20995,"Tamara Dahlen",1013.49
AB-10060,"Adam Bellavance",4355.17
JL-15505,"Jeremy Lonsdale",1473.10
VB-21745,"Victoria Brennan",756.80
KW-16435,"Katrina Willman",3080.00
JD-16060,"Julia Dunbar",221.16
MK-17905,"Michael Kennedy",1043.92
GT-14755,"Guy Thornton",61.06
AG-10900,"Arthur Gainer",1023.94
MM-18280,"Muhammed MacIntyre",207.98
AR-10405,"Allen Rosenblatt",1488.42
RA-19915,"Russell Applegate",1983.97
AS-10285,"Alejandro Savely",2678.94
LA-16780,"Laura Armstrong",3504.90
DO-13435,"Denny Ordway",375.46
DK-13225,"Dean Katz",1295.78
NG-18430,"Nathan Gelder",540.05
MV-18190,"Mike Vittorini",863.93
JG-15115,"Jack Garza",1799.97
BP-11095,"Bart Pistole",583.80
VP-21730,"Victor Preis",546.06
SS-20140,"Saphhira Shifley",411.98
AG-10675,"Anna Gayman",2396.27
LF-17185,"Luke Foster",2177.58
RF-19840,"Roy Französisch",383.64
KH-16510,"Keith Herrera",1336.83
KC-16675,"Kimberly Carter",390.27
CJ-12010,"Caroline Jumper",3999.95
PB-19150,"Philip Brown",464.85
MP-17965,"Michael Paige",1652.94
NF-18385,"Natalie Fritzler",2025.36
SD-20485,"Shirley Daniels",3812.97
KH-16630,"Ken Heidel",1259.93
RB-19795,"Ross Baird",2065.32
MK-18160,"Mike Kennedy",571.44
PO-19180,"Philisse Overcash",1007.98
BB-11545,"Brenda Bowman",1779.90
TB-21595,"Troy Blackwell",754.45
RB-19360,"Raymond Buch",13999.96
EB-13705,"Ed Braxton",1293.49
SC-20095,"Sanjit Chand",9449.95
TN-21040,"Tanja Norvell",1272.63
JS-15940,"Joni Sundaresam",254.74
MH-17785,"Maya Herman",730.20
JP-15520,"Jeremy Pistek",1089.75
JE-15475,"Jeremy Ellison",772.47
JG-15805,"John Grady",704.25
XP-21865,"Xylona Preis",337.09
EM-14065,"Erin Mull",159.98
MT-18070,"Michelle Tran",514.17
SA-20830,"Sue Ann Reed",2735.95
CW-11905,"Carl Weiss",592.74
AJ-10960,"Astrea Jones",449.15
SS-20590,"Sonia Sunley",199.99
RO-19780,"Rose O'Brian",1598.06
MD-17350,"Maribeth Dona",1080.10
MY-17380,"Maribeth Yedwab",801.57
CM-12385,"Christopher Martinez",6354.95
LS-17245,"Lynn Smith",279.96
BN-11515,"Bradley Nguyen",454.90
DB-13210,"Dean Braden",887.27
MC-17605,"Matt Connell",674.06
BD-11605,"Brian Dahlen",1325.85
PH-18790,"Patricia Hirasaki",683.95
MG-18145,"Mike Gockenbach",1115.91
KB-16240,"Karen Bern",1287.45
JC-15340,"Jasper Cacioppo",47.94
RL-19615,"Rob Lucas",1362.90
AA-10375,"Allen Armold",499.98
EP-13915,"Emily Phan",956.66
DK-12985,"Darren Koutras",646.20
BD-11500,"Bradley Drucker",2939.93
LM-17065,"Liz MacKendrick",646.78
AS-10135,"Adrian Shami",41.28
BD-11320,"Bill Donatelli",2567.84
GT-14710,"Greg Tran",4007.84
AJ-10945,"Ashley Jarboe",638.73
OT-18730,"Olvera Toch",1369.76
LP-17080,"Liz Pelletier",451.15
CA-12775,"Cynthia Arntzen",1228.47
JF-15490,"Jeremy Farry",291.17
FP-14320,"Frank Preis",1317.49
EB-13840,"Ellis Ballard",3393.68
JF-15415,"Jennifer Ferguson",1471.96
SF-20200,"Sarah Foster",2665.62
TG-21640,"Trudy Glocke",1125.49
CS-11950,"Carlos Soltero",585.55
CC-12145,"Charles Crestani",1919.98
DV-13465,"Dianna Vittorini",899.95
BD-11725,"Bruce Degenhardt",675.06
ZC-21910,"Zuschuss Carroll",1516.20
MS-17830,"Melanie Seite",239.37
LR-16915,"Lena Radford",1199.98
TP-21130,"Theone Pippenger",1586.69
CK-12205,"Chloris Kastensmidt",1039.99
AS-10240,"Alan Shonely",142.78
AR-10510,"Andrew Roberts",89.97
NB-18655,"Nona Balk",383.44
GD-14590,"Giulietta Dortch",1099.50
CK-12595,"Clytie Kelty",431.16
NG-18355,"Nat Gilpin",579.51
CA-12265,"Christina Anderson",912.75
SF-20965,"Sylvia Foulston",1403.92
MO-17800,"Meg O'Connel",723.92
AT-10735,"Annie Thurman",2625.12
FM-14380,"Fred McMath",389.97
DJ-13420,"Denny Joy",1454.90
ME-17725,"Max Engle",701.96
JD-16150,"Justin Deggeller",2504.74
JL-15835,"John Lee",2624.99
SC-20305,"Sean Christensen",2803.92
CC-12430,"Chuck Clark",518.27
AR-10825,"Anthony Rawles",1626.19
SR-20740,"Steven Roelle",3404.50
CR-12730,"Craig Reiter",904.90
EH-14125,"Eugene Hildebrand",748.75
SP-20545,"Sibella Parks",459.95
TH-21235,"Tiffany House",381.58
RP-19390,"Resi Pölking",2807.84
RB-19570,"Rob Beeghly",198.74
CD-11980,"Carol Darley",318.96
DJ-13630,"Doug Jacobs",1704.56
GT-14635,"Grant Thornton",7999.98
MC-17845,"Michael Chen",1669.60
RA-19285,"Ralph Arnett",1199.96
NP-18325,"Naresj Patel",1217.57
AB-10165,"Alan Barnes",304.23
JO-15550,"Jesus Ocampo",453.58
JK-15370,"Jay Kimmel",573.17
BN-11470,"Brad Norvell",166.84
DP-13165,"David Philippe",883.92
TH-21550,"Tracy Hopkins",1633.19
AP-10915,"Arthur Prichep",842.94
RS-19765,"Roland Schwarz",1261.33
SV-20365,"Seth Vernon",2888.13
CK-12325,"Christine Kargatis",1139.92
RD-19810,"Ross DeVincentis",419.40
MR-17545,"Mathew Reese",347.97
SC-20695,"Steve Chapman",714.30
JF-15355,"Jay Fein",842.35
EG-13900,"Emily Grady",542.65
DS-13030,"Darrin Sayre",242.94
PO-19195,"Phillina Ober",344.37
SS-20875,"Sung Shariari",290.35
PB-19105,"Peter Bühler",604.66
RF-19735,"Roland Fjeld",519.96
YC-21895,"Yoseph Carroll",2934.33
DC-13285,"Debra Catini",447.94
CP-12340,"Christine Phan",1579.75
LH-17020,"Lisa Hazard",107.98
CS-12250,"Chris Selesnick",646.74
AJ-10795,"Anthony Johnson",1194.17
BV-11245,"Benjamin Venier",643.14
DL-12865,"Dan Lawera",483.14
BM-11785,"Bryan Mills",475.94
LT-17110,"Liz Thompson",881.93
JK-15730,"Joe Kamberova",1363.96
ES-14020,"Erica Smith",2357.49
RH-19495,"Rick Hansen",2309.65
CD-11920,"Carlos Daly",1259.97
HW-14935,"Helen Wasserman",2405.20
MC-18130,"Mike Caudle",902.71
GM-14440,"Gary McGarr",1325.76
PJ-19015,"Pauline Johnson",1399.93
BW-11110,"Bart Watters",3059.98
TR-21325,"Toby Ritter",278.40
PG-18820,"Patrick Gardner",595.00
JL-15175,"James Lanier",842.38
BM-11650,"Brian Moss",1633.14
EM-14095,"Eudokia Martin",494.97
AF-10885,"Art Foster",349.97
CK-12760,"Cyma Kinney",652.45
DP-13105,"Dave Poirier",968.74
BK-11260,"Berenike Kampe",214.95
SJ-20125,"Sanjit Jacobs",1415.76
CM-12445,"Chuck Magee",56.69
AJ-10780,"Anthony Jacobs",1737.18
LS-16945,"Linda Southworth",854.35
GP-14740,"Guy Phonely",104.90
PK-18910,"Paul Knutson",1141.47
SM-20005,"Sally Matthias",106.34
GA-14725,"Guy Armstrong",205.67
PM-19135,"Peter McVee",2249.91
LL-16840,"Lauren Leatherbury",1196.86
JS-15595,"Jill Stevenson",783.96
EL-13735,"Ed Ludwig",86.62
PC-18745,"Pamela Coakley",1573.49
HL-15040,"Hunter Lopez",10499.97
MS-17365,"Maribeth Schnelling",3406.66
GB-14530,"George Bell",241.92
JR-16210,"Justin Ritter",717.12
BE-11335,"Bill Eplett",1928.78
SC-20050,"Sample Company A",1856.19
RW-19630,"Rob Williams",1114.27
SE-20110,"Sanjit Engle",8749.95
AH-10075,"Adam Hart",841.57
JM-15535,"Jessica Myrick",799.56
JJ-15760,"Joel Jenkins",119.96
CG-12040,"Catherine Glotzbach",447.70
RP-19270,"Rachel Payne",369.20
KH-16360,"Katherine Hughes",1207.84
GH-14665,"Greg Hansen",78.85
SW-20275,"Scott Williamson",881.93
JA-15970,"Joseph Airdo",4663.74
DL-12925,"Daniel Lacy",1299.99
LW-16990,"Lindsay Williams",1685.88
TB-21190,"Thomas Brumley",767.21
BS-11800,"Bryan Spruell",501.81
RW-19690,"Robert Waldorf",1924.16
TZ-21580,"Tracy Zic",603.92
AS-10630,"Ann Steele",336.51
TS-21340,"Toby Swindell",454.86
SL-20155,"Sara Luxemburg",1439.92
MW-18235,"Mitch Willingham",2715.93
RD-19585,"Rob Dowd",1049.93
RA-19945,"Ryan Akin",505.18
MT-17815,"Meg Tillman",2430.08
JS-15880,"John Stevenson",1618.37
KM-16225,"Kalyca Meade",601.65
HR-14770,"Hallie Redmond",687.40
DE-13255,"Deanra Eno",1408.10
AG-10390,"Allen Goldenen",71.28
JJ-15445,"Jennifer Jackson",307.98
JH-15430,"Jennifer Halladay",120.00
RD-19660,"Robert Dilbeck",1577.94
MO-17500,"Mary O'Rourke",722.35
NS-18640,"Noel Staavos",458.43
DG-13300,"Deirdre Greer",1979.89
NF-18595,"Nicole Fjeld",915.14
MG-17650,"Matthew Grinstein",1091.17
TS-21160,"Theresa Swint",422.06
BD-11620,"Brian DeCherney",333.09
CM-12160,"Charles McCrossin",2003.52
SN-20560,"Skye Norling",762.59
EH-14005,"Erica Hernandez",398.35
FO-14305,"Frank Olsen",1441.30
MS-17710,"Maurice Satty",491.55
CC-12100,"Chad Cunningham",627.17
DW-13540,"Don Weiss",119.96
BT-11395,"Bill Tyler",1106.91
CY-12745,"Craig Yedwab",895.94
BT-11485,"Brad Thomas",355.96
PS-19045,"Penelope Sewall",3359.95
PV-18985,"Paul Van Hugh",1575.14
DL-13495,"Dionis Lloyd",1801.63
CS-12355,"Christine Sundaresam",619.95
FH-14275,"Frank Hawley",931.18
NC-18340,"Nat Carroll",704.76
AA-10315,"Alex Avila",3930.07
LT-16765,"Larry Tron",201.58
AP-10720,"Anne Pryor",437.47
PM-18940,"Paul MacIntyre",1056.86
AT-10435,"Alyssa Tate",896.33
CA-12055,"Cathy Armstrong",513.02
HR-14830,"Harold Ryan",2399.96
BT-11530,"Bradley Talbott",892.22
LH-16750,"Larry Hughes",271.96
SW-20755,"Steven Ward",579.14
SP-20620,"Stefania Perrino",1931.96
BF-11170,"Ben Ferrer",1270.99
KT-16480,"Kean Thornton",1799.97
BG-11695,"Brooke Gillingham",845.49
GM-14680,"Greg Matthias",1432.00
EJ-14155,"Eva Jacobs",901.95
NP-18700,"Nora Preis",3610.85
MH-18115,"Mick Hernandez",1169.69
JR-15700,"Jocasta Rupert",863.88
SM-20950,"Suzanne McNair",1801.63
CC-12220,"Chris Cortes",637.90
PF-19225,"Phillip Flathmann",1101.48
DC-12850,"Dan Campbell",1614.58
BD-11770,"Bryan Davis",240.78
KC-16255,"Karen Carlisle",1319.96
GM-14500,"Gene McClure",629.93
TB-21355,"Todd Boyes",302.94
JH-16180,"Justin Hirsh",845.73
EB-13975,"Erica Bern",959.97
QJ-19255,"Quincy Jones",4404.90
TC-21535,"Tracy Collins",389.97
CS-12460,"Chuck Sachs",287.97
HG-14965,"Henry Goldwyn",1889.99
LW-16825,"Laurel Workman",575.92
MC-17575,"Matt Collins",285.55
LP-17095,"Liz Preis",2003.17
EB-14170,"Evan Bailliet",807.75
GZ-14545,"George Zrebassa",1649.95
CP-12085,"Cathy Prescott",4164.05
FG-14260,"Frank Gastineau",447.86
LD-17005,"Lisa DeCherney",1395.54
AB-10255,"Alejandro Ballentine",479.98
MN-17935,"Michael Nguyen",979.95
JR-15670,"Jim Radford",590.06
JF-15190,"Jamie Frazer",415.18
CM-12115,"Chad McGuire",677.58
AS-10045,"Aaron Smayling",1439.98
BP-11290,"Beth Paige",638.29
ND-18370,"Natalie DeCherney",1931.04
LB-16735,"Larry Blacks",26.72
KT-16465,"Kean Takahito",966.70
HM-14860,"Harry Marie",4899.93
AB-10600,"Ann Blume",899.14
SZ-20035,"Sam Zeldin",637.44
MG-17890,"Michael Granlund",156.79
JK-16120,"Julie Kriz",900.08
PP-18955,"Paul Prost",2348.82
YS-21880,"Yana Sorensen",2793.53
KM-16375,"Katherine Murray",1687.80
AB-10105,"Adrian Barton",9892.74
HA-14905,"Helen Abelman",579.14
BT-11305,"Beth Thompson",1487.04
SV-20815,"Stuart Van",946.34
RW-19540,"Rick Wilson",2518.29
DK-12835,"Damala Kotsonis",872.94
ST-20530,"Shui Tom",139.44
MM-17920,"Michael Moore",1652.94
PW-19030,"Pauline Webber",1287.45
SC-20440,"Shaun Chance",1158.12
TS-21085,"Thais Sissman",2.81
MC-17425,"Mark Cousins",3040.00
ME-17320,"Maria Etezadi",3023.93
NH-18610,"Nicole Hansen",1245.86
MB-18085,"Mick Brown",627.17
KD-16495,"Keith Dawkins",4643.80
KN-16390,"Katherine Nockton",598.46
NM-18520,"Neoma Murray",1649.95
NP-18685,"Nora Pelletier",999.98
CS-12505,"Cindy Stewart",4499.99
MS-17770,"Maxwell Schwartz",837.60
CM-12655,"Corinna Mitchell",2279.96
Co-12640,Corey-Lock,558.40
TS-21370,"Todd Sumrall",5199.96
JW-15220,"Jane Waco",5083.96
JD-15790,"John Dryer",1801.63
PC-19000,"Pauline Chand",1004.98
AR-10540,"Andy Reiter",5443.96
AI-10855,"Arianne Irving",1679.96
TB-21400,"Tom Boeckenhauer",6999.96
PL-18925,"Paul Lucas",83.98
GH-14425,"Gary Hwang",3266.38
MP-18175,"Mike Pelletier",1117.92
JM-15655,"Jim Mitchum",383.95
CL-11890,"Carl Ludwig",782.94
DB-13270,"Deborah Brumfield",2079.40
IG-15085,"Ivan Gibson",370.14
BO-11425,"Bobby Odegard",124.75
AB-10150,"Aimee Bixby",479.97
JW-16075,"Julia West",962.08
SG-20470,"Sheri Gordon",1044.63
CM-12190,"Charlotte Melton",607.52
AW-10840,"Anthony Witt",310.88
MC-18100,"Mick Crebagga",763.28
TT-21460,"Tonja Turnell",1879.96
VG-21805,"Vivek Grady",331.54
MY-18295,"Muhammed Yedwab",1049.97
RD-19480,"Rick Duston",1676.88
DP-13390,"Dennis Pardue",4535.98
ML-17395,"Marina Lichtenstein",479.97
JC-15385,"Jenna Caffey",786.48
JG-15160,"James Galang",1265.85
MC-17275,"Marc Crier",975.92
NW-18400,"Natalie Webber",2799.94
TB-21280,"Toby Braunhardt",1287.45
BS-11380,"Bill Stewart",906.68
HH-15010,"Hilary Holden",109.92
CD-12280,"Christina DeMoss",169.68
TH-21100,"Thea Hendricks",1502.38
MM-18055,"Michelle Moray",765.63
NS-18505,"Neola Schneider",887.27
RB-19645,"Robert Barroso",58.58
SW-20455,"Shaun Weien",1217.57
EB-13930,"Eric Barreto",526.34
PS-18760,"Pamela Stobb",399.54
HF-14995,"Herbert Flentye",556.67
HZ-14950,"Henia Zydlo",723.92
CD-12790,"Cynthia Delaney",868.59
JK-15205,"Jamie Kunitz",1871.88
FM-14215,"Filia McAdams",1048.35
ED-13885,"Emily Ducich",2621.32
DA-13450,"Dianna Arnett",40.08
JW-15955,"Joni Wasserman",304.45
RM-19375,"Raymond Messe",542.94
ML-17755,"Max Ludwig",663.94
CC-12685,"Craig Carroll",991.20
JE-15610,"Jim Epp",2999.95
RP-19855,"Roy Phan",699.98
TB-21175,"Thomas Boland",2249.91
BE-11455,"Brad Eason",848.54
JF-15565,"Jill Fjeld",1599.92
PB-19210,"Phillip Breyer",69.93
BT-11680,"Brian Thompson",998.85
JL-15235,"Janet Lee",751.98
CH-12070,"Cathy Hwang",1127.98
ND-18460,"Neil Ducich",1347.52
BF-10975,"Barbara Fisher",314.55
KH-16330,"Katharine Harms",833.94
GW-14605,"Giulietta Weimer",631.18
RK-19300,"Ralph Kennedy",831.20
NC-18625,"Noah Childs",727.45
ME-18010,"Michelle Ellison",801.57
BP-11230,"Benjamin Patterson",1022.97
JC-15775,"John Castell",705.54
AS-10090,"Adam Shillingsburg",1024.38
AC-10450,"Amy Cox",1793.98
MD-17860,"Michael Dominguez",909.12
DB-13660,"Duane Benoit",594.82
EH-13990,"Erica Hackney",328.00
EH-13765,"Edward Hooks",4912.59
SC-20230,"Scot Coram",2887.06
JE-15715,"Joe Elijah",2563.06
AC-10615,"Ann Chong",1282.41
JD-16015,"Joy Daniels",132.60
CB-12415,"Christy Brittain",1439.98
JS-16030,"Joy Smith",600.56
LW-17215,"Luke Weiss",3785.29
SC-20800,"Stuart Calhoun",159.98
AM-10705,"Anne McFarland",1604.90
RH-19510,"Rick Huthwaite",3357.60
CT-11995,"Carol Triggs",872.32
MC-17590,"Matt Collister",1218.74
CC-12610,"Corey Catlett",1202.94
KA-16525,"Kelly Andreada",321.57
TC-20980,"Tamara Chand",17499.95
BF-11080,"Bart Folk",94.85
MM-17260,"Magdelene Morse",631.78
AH-10120,"Adrian Hane",377.45
BW-11200,"Ben Wallace",806.34
BS-11665,"Brian Stugart",1297.37
RF-19345,"Randy Ferguson",1263.30
WB-21850,"William Brown",895.92
TB-21625,"Trudy Brown",1079.32
AF-10870,"Art Ferguson",662.84
RB-19435,"Richard Bierner",735.98
KF-16285,"Karen Ferguson",4158.91
JH-15820,"John Huston",228.92
IL-15100,"Ivan Liston",1454.49
PB-18805,"Patrick Bzostek",199.90
RH-19600,"Rob Haberlin",435.50
AW-10930,"Arthur Wiediger",1117.92
ML-17410,"Maris LaWare",832.93
DB-13555,"Dorothy Badders",942.78
MH-17620,"Matt Hagelstein",1145.60
DK-13375,"Dennis Kane",965.85
BT-11440,"Bobby Trafton",353.57
DB-13405,"Denny Blanton",526.45
TG-21310,"Toby Gnade",1016.79
BF-11005,"Barry Franz",659.98
JM-16195,"Justin MacKendrick",826.00
MZ-17335,"Maria Zettner",371.97
MW-18220,"Mitch Webber",1349.91
MV-17485,"Mark Van Huff",415.87
SM-20320,"Sean Miller",22638.48
TP-21415,"Tom Prescott",4416.17
JK-15625,"Jim Karlsson",843.90
PJ-18835,"Patrick Jones",826.11
RS-19420,"Ricardo Sperren",1133.35
SV-20935,"Susan Vittorini",552.00
BC-11125,"Becky Castell",681.41
EM-13825,"Elizabeth Moffitt",492.77
BM-11575,"Brendan Murry",231.98
KN-16705,"Kristina Nunn",1137.75
KW-16570,"Kelly Williams",106.50
SC-20260,"Scott Cohen",1552.83
BF-11020,"Barry Französisch",1035.80
CV-12295,"Christina VanderZanden",1184.72
SG-20605,"Speros Goranitis",1619.91
TM-21010,"Tamara Manning",1406.86
EM-13810,"Eleni McCrary",1348.70
ML-18040,"Michelle Lonsdale",595.00
CR-12580,"Clay Rozendal",1673.18
AZ-10750,"Annie Zypern",557.73
PW-19240,"Pierre Wener",2541.98
SC-20380,"Shahid Collister",1781.68
CM-11935,"Carlos Meador",451.14
GM-14695,"Greg Maxwell",4164.05
TB-21250,"Tim Brockman",631.96
JM-15865,"John Murray",4548.81
SC-20575,"Sonia Cooley",647.84
LS-17200,"Luke Schmidt",605.34
RR-19315,"Ralph Ritter",520.46
DB-12910,"Daniel Byrd",915.14
TT-21220,"Thomas Thornton",537.54
LO-17170,"Lori Olson",247.44
KD-16615,"Ken Dana",717.72
NB-18580,"Nicole Brennan",143.95
BD-11635,"Brian Derr",232.40
CM-12235,"Chris McAfee",1399.94
EN-13780,"Edward Nazzal",1349.85
KN-16450,"Kean Nguyen",1075.09
BO-11350,"Bill Overfelt",1592.85
AG-10300,"Aleksandra Gannaway",230.28
MC-17635,"Matthew Clasen",449.15
TA-21385,"Tom Ashbrook",11199.97
JF-15295,"Jason Fortune-",220.96
TT-21265,"Tim Taslimi",323.10
SB-20170,"Sarah Bern",858.24
CL-12700,"Craig Leslie",1325.76
HG-15025,"Hunter Glantz",1999.96
NL-18310,"Nancy Lomonaco",590.35
RR-19525,"Rick Reed",1325.85
TC-21295,"Toby Carlisle",1628.82
SV-20785,"Stewart Visinsky",844.12
BE-11410,"Bobby Elias",1649.75
SC-20680,"Steve Carroll",821.94
DF-13135,"David Flashing",1439.97
FH-14350,"Fred Harton",799.96
EB-13750,"Edward Becker",1522.64
MS-17530,"MaryBeth Skach",301.96
RH-19555,"Ritsa Hightower",704.76
GA-14515,"George Ashbrook",1447.65
JP-16135,"Julie Prescott",481.32
Dp-13240,"Dean percer",2321.90
MO-17950,"Michael Oakman",50.12
DL-13330,"Denise Leinenbach",393.54
MH-18025,"Michelle Huthwaite",1504.52
DR-12940,"Daniel Raglin",5399.91
DM-13015,"Darrin Martin",2799.96
CA-11965,"Carol Adams",1999.96
AC-10660,"Anna Chung",201.58
DM-13345,"Denise Monton",2690.97
CC-12370,"Christopher Conant",8399.98
BF-11275,"Beth Fritzler",361.38
HG-14845,"Harry Greene",314.35
BP-11155,"Becky Pak",989.97
EM-14140,"Eugene Moren",1499.95
MA-17995,"Michelle Arnett",1603.14
AY-10555,"Andy Yotov",97.18
GB-14575,"Giulietta Baptist",1690.04
JB-16045,"Julia Barnett",1267.65
MG-17875,"Michael Grace",796.43
SR-20425,"Sharelle Roach",2549.99
JB-16000,"Joy Bell-",327.73
DM-12955,"Dario Medina",795.41
TC-21475,"Tony Chapman",411.80
SW-20350,"Sean Wendt",517.90
RE-19450,"Richard Eichhorn",239.90
BF-11215,"Benjamin Farhat",692.94
KB-16405,"Katrina Bavinger",419.40
JG-15310,"Jason Gross",695.16
EC-14050,"Erin Creighton",249.95
EB-14110,"Eugene Barchas",1199.98
JP-15460,"Jennifer Patt",1040.80
CS-11845,"Cari Sayre",963.14
GH-14410,"Gary Hansen",1001.58
PT-19090,"Pete Takahito",93.46
JL-15130,"Jack Lebron",934.96
AH-10030,"Aaron Hawkins",668.16
VG-21790,"Vivek Gonzalez",211.17
CC-12475,"Cindy Chapman",686.40
DW-13195,"David Wiener",318.43
SJ-20215,"Sarah Jordon",317.06
BG-11740,"Bruce Geld",486.37
LB-16795,"Laurel Beltran",1112.94
CM-11815,"Candace McMahon",572.58
EH-14185,"Evan Henry",588.78
TS-21505,"Tony Sayre",662.88
